VMName,vCenter Name,Service Account used,Result
AFTCTM1PROD,na,na,virtual Machine not Found
DSOPRXYSG01,na,na,virtual Machine not Found
DSOPRXYSG01,na,na,virtual Machine not Found
Widows Server 2019 (Latest Jan 040123),na,na,virtual Machine not Found
Windows Server 2016 (Latest Jan-040123),na,na,virtual Machine not Found
Windows Server 2022 (Latest Jan-310123),na,na,virtual Machine not Found
AFTCTM1PROD,na,na,virtual Machine not Found
AFTCNFCDC2201,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,svc_dsolclsa@global.nmhg.corp,Authentication Passed
AFTCEXDC2202,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,svc_dsolclsa@global.nmhg.corp,Authentication Passed
AFTCMRAD2201,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,svc_dsolclsa@global.nmhg.corp,Authentication Passed
AFTCMSTRMNX,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,svc_dsolclsa@global.nmhg.corp,Authentication Passed
AFTCMNEWERAJMP,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,svc_dsolclsa@global.nmhg.corp,Authentication Passed
AFTCMPOLARION01,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,svc_dsolclsa@global.nmhg.corp,Authentication Passed
zztest1610,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,,Guest operations not ready on the VM. Please check the VMware tools installation
AFTCMISERMON01,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,svc_dsolclsa@global.nmhg.corp,Failed to authenticate with the guest operating system using the supplied credentials. 
AFTCMNOCQCDB02,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,svc_dsolclsa@global.nmhg.corp,Authentication Passed
AFTCMISERDR02,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,svc_dsolclsa@global.nmhg.corp,Failed to authenticate with the guest operating system using the supplied credentials. 
AFTCMR7SRV,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,svc_dsolclsa@global.nmhg.corp,Authentication Passed
ENMTESTFILE,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,svc_dsolclsa@global.nmhg.corp,Authentication Passed
AFTCGLBZTSO01,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,svc_dsolclsa@global.nmhg.corp,Authentication Passed
AFTCEXDC2201,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,svc_dsolclsa@global.nmhg.corp,Authentication Passed
Win2022,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,,Timeout waiting for getting VM Guest Family on a running OS 
AFTCMDEVEX,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,svc_dsolclsa@global.nmhg.corp,Authentication Passed
DSOTESTVM01,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,svc_dsolclsa@global.nmhg.corp,Authentication Passed
AFTCMXENAPP01,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,svc_dsolclsa@global.nmhg.corp,Failed to authenticate with the guest operating system using the supplied credentials. 
VK1000_10_1_99_1T,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,,Error: Unknown Guest Family 
AFTCMIDMCAGT01,https://hygcldftcvc01.dellcldmgmt.com:443/sdk,svc_dsolclsa@global.nmhg.corp,Authentication Passed
