VMName,vCenter Name,Service Account used,Result
BRSPOMAS01,https://BRMOGVCSA02.as.globalad.local:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
BRMOGSFS01,https://BRMOGVCSA02.as.globalad.local:443/sdk,,Guest operations not ready on the VM. Please check the VMware tools installation
BRMOGSNSAP02,https://BRMOGVCSA02.as.globalad.local:443/sdk,,Guest operations not ready on the VM. Please check the VMware tools installation
BRMOGSTRUES02,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
BRMOGSPROXYFSSO,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
BRMOGSJUMP01,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
BRMOGSQDB01,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
BRMOGSDCAS11,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
BRMOGSRAP7COL,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
BRMOGSDCNA10,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
BRMOGSIOTEDGE,https://BRMOGVCSA02.as.globalad.local:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
BRMOGSSFCORE1,https://BRMOGVCSA02.as.globalad.local:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
SUSETESTMOG,https://BRMOGVCSA02.as.globalad.local:443/sdk,root,Authentication Passed
BRMOGSAP01,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
SUSE15_MOGI_Template,https://BRMOGVCSA02.as.globalad.local:443/sdk,,Guest operations not ready on the VM. Please check the VMware tools installation
BRMOGSWSUS01,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
BRMOGSNSAP01,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
BRMOGRHSS01,https://BRMOGVCSA02.as.globalad.local:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
brmogsqdb01_old not to use,https://BRMOGVCSA02.as.globalad.local:443/sdk,,Timeout waiting for getting VM Guest Family on a running OS 
BRMOGSSFCORE2,https://BRMOGVCSA02.as.globalad.local:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
BRMOGSPOSDB,https://BRMOGVCSA02.as.globalad.local:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
BRSPOSAP02,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
BRSPOSEM01,https://BRMOGVCSA02.as.globalad.local:443/sdk,,Timeout waiting for getting VM Guest Family on a running OS 
BRMOGSSFCORE2_Old_do not power On,https://BRMOGVCSA02.as.globalad.local:443/sdk,,Timeout waiting for getting VM Guest Family on a running OS 
BRMOGSQL01,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
BRMOGSSCCMDP,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
BRMOGSBKMST1,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,https://BRMOGVCSA02.as.globalad.local:443/sdk invocation failed with "java.net.SocketTimeoutException: Read timed out" 
BRSPOSSEPM02,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
windows server 2016,https://BRMOGVCSA02.as.globalad.local:443/sdk,,Timeout waiting for getting VM Guest Family on a running OS 
BRMOGSTRUES01,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
BRMOGSNUC01,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
RiverbedWIN2019Template,https://BRMOGVCSA02.as.globalad.local:443/sdk,,Timeout waiting for getting VM Guest Family on a running OS 
BRMOGSAZGW1,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
BRMOGSPRXYFSSO1,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
BRMOGVCSA02,https://BRMOGVCSA02.as.globalad.local:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
BRSPOWSUS01,https://BRMOGVCSA02.as.globalad.local:443/sdk,svc_nucleus_lcladm@na.globalad.local,Authentication Passed
