VMName,vCenter Name,Service Account used,Result
Windows2019,na,na,virtual Machine not Found
dso-rhel86template,na,na,virtual Machine not Found
dso-rhel87template,na,na,virtual Machine not Found
dso-rhel79template,na,na,virtual Machine not Found
dso-rhel84template,na,na,virtual Machine not Found
RHEL71_template,na,na,virtual Machine not Found
RHEL76_template,na,na,virtual Machine not Found
dso-rhel76template,na,na,virtual Machine not Found
dso-rhel78template,na,na,virtual Machine not Found
dso-rhel82template,na,na,virtual Machine not Found
Windows2019_PREV.May162023,na,na,virtual Machine not Found
Windows2016,na,na,virtual Machine not Found
Windows2016_NotJoinDomain,na,na,virtual Machine not Found
Windows2016_BeforeAugPatching,na,na,virtual Machine not Found
Windows2019_NotJoinDomain,na,na,virtual Machine not Found
Windows2019,na,na,virtual Machine not Found
dso-rhel76template,na,na,virtual Machine not Found
dso-rhel86template,na,na,virtual Machine not Found
RHEL76_template,na,na,virtual Machine not Found
RHEL71_template,na,na,virtual Machine not Found
dso-rhel87template,na,na,virtual Machine not Found
dso-rhel79template,na,na,virtual Machine not Found
dso-rhel84template,na,na,virtual Machine not Found
Windows2019_PREV.May162023,na,na,virtual Machine not Found
Windows2016,na,na,virtual Machine not Found
dso-rhel82template,na,na,virtual Machine not Found
dso-rhel78template,na,na,virtual Machine not Found
Windows2016_NotJoinDomain,na,na,virtual Machine not Found
Windows2019_NotJoinDomain,na,na,virtual Machine not Found
Windows2016_BeforeAugPatching,na,na,virtual Machine not Found
n0469l0125n,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0251p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0095n,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469a002p-cfm,https://n0469a001p-vcsa.clarios.com:443/sdk,,Guest operations not ready on the VM. Please check the VMware tools installation
N0469L0298N,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
N0469L0270P,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
N0469L0272P,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
N0469L0276N,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0306p,https://n0469a001p-vcsa.clarios.com:443/sdk,,Guest operations not ready on the VM. Please check the VMware tools installation
n0469l0130n,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
N0469L0246N,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
N0469L0271P,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
N0469L0283N,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
N0469L0299N,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
VA1-vCloudUsageMeter-4,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469a001p-cfm,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469a0001-vro,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
N0469W0044P,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469W0033P,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469W0032P,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
n0469w012p,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469W0037P,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469W0002P-EXC,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469W0001P-EXC,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469W0031P,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469W0045P,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469W0040P,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469W0043P,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
n0469w011p,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
n0469w0001p-atn,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
n0469w0016p,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,https://n0469a001p-vcsa.clarios.com:443/sdk invocation failed with "java.net.SocketTimeoutException: Read timed out" 
N0469W0023P,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
n0469w0003p,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469w009p,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469W0042P,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
n0469w010p,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469W0038P,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
n0469w0015p,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469W0034P,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
n0469w0018p,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
n0469w0002p-atn,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
n0469w008p,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469W0036P,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
n0469w0002p,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469W0039P,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
n0469w0017p,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
n0469w013p,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469W0035P,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469W0030P,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469W0022P,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469W0046P,https://n0469a001p-vcsa.clarios.com:443/sdk,ap_svc_dsolclsa@clarios.com,Authentication Passed
N0469A001P-VCSA,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
N0469L0273N,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
N0469L0274N,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
dso-rhel78template_got_issues,https://n0469a001p-vcsa.clarios.com:443/sdk,,Guest operations not ready on the VM. Please check the VMware tools installation
DSO_Windows2019,https://n0469a001p-vcsa.clarios.com:443/sdk,,Timeout waiting for getting VM Guest Family on a running OS 
RHEL76_template_EFI,https://n0469a001p-vcsa.clarios.com:443/sdk,,Guest operations not ready on the VM. Please check the VMware tools installation
n0469l0060n,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0011n,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0025p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0039n,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0030p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0108n,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0018n--PMC-VBK,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0054p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0055p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0078p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0019n-PMC-VIK,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0086n,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0023n,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0045n,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0018p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0069p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0113n,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0012p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0073n,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0075p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0035p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0027p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0015n-PMC-VBK,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0056p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0034p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0080p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0051n,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0026n,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0021p-PMC-VIP,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0077p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0048p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0019p-PMC-VJP,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0031p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0013p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0062p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0077n,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0011p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0031n,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0017p-PMC-VIP,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0051p-PMC-BMP,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0083n,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0063p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0021n,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0037p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0079p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0047p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0033p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0052p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0017n-PMC-VJK,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0045p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0040p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0032p,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
n0469l0016p-PMC-VJP,https://n0469a001p-vcsa.clarios.com:443/sdk,root,Failed to authenticate with the guest operating system using the supplied credentials. 
